timestamp,direction,type,message
2026-07-05 18:31:51.730,AS_GPS_HS->Helix,raw,RAW_LEN=25 HEX=2C2C2C2C302C30302C39392E39392C2C2C2C2C2C2A35360D0A
2026-07-05 18:31:51.870,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:51.870,AS_GPS_HS->Helix,nmea,"$GPHDG,227.0,0.0,E,0.0,E*59"
2026-07-05 18:31:51.870,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=47504844472C3232372E302C302E302C452C302E302C452A35390D0A245054
2026-07-05 18:31:51.870,AS_GPS_HS->Helix,nmea,"$PTSI160,5,-2,227*18"
2026-07-05 18:31:51.870,AS_GPS_HS->Helix,raw,RAW_LEN=19 HEX=53493136302C352C2D322C3232372A31380D0A
2026-07-05 18:31:51.920,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:51.920,AS_GPS_HS->Helix,nmea,"$GNRMC,,V,,,,,,,,,,N*4D"
2026-07-05 18:31:51.920,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=474E524D432C2C562C2C2C2C2C2C2C2C2C2C4E2A34440D0A24474E4747412C
2026-07-05 18:31:51.930,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=2C
2026-07-05 18:31:51.930,AS_GPS_HS->Helix,nmea,"$GNGGA,,,,,,0,00,99.99,,,,,,*56"
2026-07-05 18:31:51.930,AS_GPS_HS->Helix,raw,RAW_LEN=25 HEX=2C2C2C2C302C30302C39392E39392C2C2C2C2C2C2A35360D0A
2026-07-05 18:31:52.120,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:52.120,AS_GPS_HS->Helix,nmea,"$GNRMC,,V,,,,,,,,,,N*4D"
2026-07-05 18:31:52.120,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=474E524D432C2C562C2C2C2C2C2C2C2C2C2C4E2A34440D0A24474E4747412C
2026-07-05 18:31:52.130,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=2C
2026-07-05 18:31:52.130,AS_GPS_HS->Helix,nmea,"$GNGGA,,,,,,0,00,99.99,,,,,,*56"
2026-07-05 18:31:52.130,AS_GPS_HS->Helix,raw,RAW_LEN=25 HEX=2C2C2C2C302C30302C39392E39392C2C2C2C2C2C2A35360D0A
2026-07-05 18:31:52.320,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:52.320,AS_GPS_HS->Helix,nmea,"$GNRMC,,V,,,,,,,,,,N*4D"
2026-07-05 18:31:52.320,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=474E524D432C2C562C2C2C2C2C2C2C2C2C2C4E2A34440D0A24474E4747412C
2026-07-05 18:31:52.330,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=2C
2026-07-05 18:31:52.330,AS_GPS_HS->Helix,nmea,"$GNGGA,,,,,,0,00,99.99,,,,,,*56"
2026-07-05 18:31:52.330,AS_GPS_HS->Helix,raw,RAW_LEN=25 HEX=2C2C2C2C302C30302C39392E39392C2C2C2C2C2C2A35360D0A
2026-07-05 18:31:52.371,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:52.371,AS_GPS_HS->Helix,nmea,"$GPHDG,228.0,0.0,E,0.0,E*56"
2026-07-05 18:31:52.371,AS_GPS_HS->Helix,raw,RAW_LEN=28 HEX=47504844472C3232382E302C302E302C452C302E302C452A35360D0A
2026-07-05 18:31:52.522,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:52.522,AS_GPS_HS->Helix,nmea,"$GNRMC,,V,,,,,,,,,,N*4D"
2026-07-05 18:31:52.522,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=474E524D432C2C562C2C2C2C2C2C2C2C2C2C4E2A34440D0A24474E4747412C
2026-07-05 18:31:52.532,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=2C
2026-07-05 18:31:52.532,AS_GPS_HS->Helix,nmea,"$GNGGA,,,,,,0,00,99.99,,,,,,*56"
2026-07-05 18:31:52.532,AS_GPS_HS->Helix,raw,RAW_LEN=25 HEX=2C2C2C2C302C30302C39392E39392C2C2C2C2C2C2A35360D0A
2026-07-05 18:31:52.722,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:52.722,AS_GPS_HS->Helix,nmea,"$GNRMC,,V,,,,,,,,,,N*4D"
2026-07-05 18:31:52.722,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=474E524D432C2C562C2C2C2C2C2C2C2C2C2C4E2A34440D0A24474E4747412C
2026-07-05 18:31:52.732,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=2C
2026-07-05 18:31:52.732,AS_GPS_HS->Helix,nmea,"$GNGGA,,,,,,0,00,99.99,,,,,,*56"
2026-07-05 18:31:52.732,AS_GPS_HS->Helix,raw,RAW_LEN=25 HEX=2C2C2C2C302C30302C39392E39392C2C2C2C2C2C2A35360D0A
2026-07-05 18:31:52.732,Helix->AS_GPS_HS,raw,RAW_LEN=1 HEX=00
2026-07-05 18:31:52.862,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:52.862,AS_GPS_HS->Helix,nmea,"$GPHDG,230.0,0.0,E,0.0,E*5F"
2026-07-05 18:31:52.862,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=47504844472C3233302E302C302E302C452C302E302C452A35460D0A245054
2026-07-05 18:31:52.872,AS_GPS_HS->Helix,nmea,"$PTSI160,6,-3,230*1C"
2026-07-05 18:31:52.872,AS_GPS_HS->Helix,raw,RAW_LEN=19 HEX=53493136302C362C2D332C3233302A31430D0A
2026-07-05 18:31:52.922,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:52.922,AS_GPS_HS->Helix,nmea,"$GNRMC,,V,,,,,,,,,,N*4D"
2026-07-05 18:31:52.922,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=474E524D432C2C562C2C2C2C2C2C2C2C2C2C4E2A34440D0A24474E4747412C
2026-07-05 18:31:52.932,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=2C
2026-07-05 18:31:52.932,AS_GPS_HS->Helix,nmea,"$GNGGA,,,,,,0,00,99.99,,,,,,*56"
2026-07-05 18:31:52.932,AS_GPS_HS->Helix,raw,RAW_LEN=25 HEX=2C2C2C2C302C30302C39392E39392C2C2C2C2C2C2A35360D0A
2026-07-05 18:31:53.123,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:53.123,AS_GPS_HS->Helix,nmea,"$GNRMC,,V,,,,,,,,,,N*4D"
2026-07-05 18:31:53.123,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=474E524D432C2C562C2C2C2C2C2C2C2C2C2C4E2A34440D0A24474E4747412C
2026-07-05 18:31:53.133,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=2C
2026-07-05 18:31:53.133,AS_GPS_HS->Helix,nmea,"$GNGGA,,,,,,0,00,99.99,,,,,,*56"
2026-07-05 18:31:53.133,AS_GPS_HS->Helix,raw,RAW_LEN=25 HEX=2C2C2C2C302C30302C39392E39392C2C2C2C2C2C2A35360D0A
2026-07-05 18:31:53.323,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:53.323,AS_GPS_HS->Helix,nmea,"$GNRMC,,V,,,,,,,,,,N*4D"
2026-07-05 18:31:53.323,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=474E524D432C2C562C2C2C2C2C2C2C2C2C2C4E2A34440D0A24474E4747412C
